symbol,as_of_date,weight,expected_return,sector,optimizer
BSAC,2024-12-31,0.014820,0.085544,Financial Services,sparse_qp
BMY,2024-12-31,0.009175,0.076508,Healthcare,sparse_qp
COIN,2024-12-31,0.009012,0.109032,Financial Services,sparse_qp
BCH,2024-12-31,0.005749,0.081306,Financial Services,sparse_qp
IX,2025-01-31,0.050413,0.101182,Financial Services,sparse_qp
OXY,2025-01-31,0.050413,0.088486,Energy,sparse_qp
EOG,2025-01-31,0.050413,0.086478,Energy,sparse_qp
BAK,2025-01-31,0.050413,0.098744,Basic Materials,sparse_qp
AAL,2025-01-31,0.050413,0.091712,Industrials,sparse_qp
FCNCA,2025-01-31,0.050413,0.088303,Financial Services,sparse_qp
COP,2025-01-31,0.050413,0.081787,Energy,sparse_qp
VLO,2025-01-31,0.050413,0.085422,Energy,sparse_qp
NGG,2025-01-31,0.050413,0.082515,Utilities,sparse_qp
NVS,2025-01-31,0.050413,0.076210,Healthcare,sparse_qp
PLD,2025-01-31,0.050413,0.083192,Real Estate,sparse_qp
SNY,2025-01-31,0.050413,0.075692,Healthcare,sparse_qp
TAK,2025-01-31,0.050413,0.074320,Healthcare,sparse_qp
SPG,2025-01-31,0.050413,0.078235,Real Estate,sparse_qp
ABBV,2025-01-31,0.050413,0.074969,Healthcare,sparse_qp
UL,2025-01-31,0.050413,0.072602,Consumer Defensive,sparse_qp
NEM,2025-01-31,0.042413,0.082771,Basic Materials,sparse_qp
INTC,2025-01-31,0.039084,0.091140,Technology,sparse_qp
FTNT,2025-01-31,0.032043,0.074231,Technology,sparse_qp
LMT,2025-01-31,0.025432,0.071326,Industrials,sparse_qp
AEP,2025-01-31,0.016473,0.072051,Utilities,sparse_qp
GPN,2025-01-31,0.015101,0.078837,Industrials,sparse_qp
ADBE,2025-01-31,0.012833,0.072470,Technology,sparse_qp
JNJ,2025-01-31,0.010007,0.070558,Healthcare,sparse_qp
IX,2025-02-28,0.050177,0.131970,Financial Services,sparse_qp
BAK,2025-02-28,0.050177,0.118885,Basic Materials,sparse_qp
COIN,2025-02-28,0.050177,0.150661,Financial Services,sparse_qp
JD,2025-02-28,0.050177,0.115868,Consumer Cyclical,sparse_qp
ADBE,2025-02-28,0.050177,0.088766,Technology,sparse_qp
VLO,2025-02-28,0.050177,0.087453,Energy,sparse_qp
NEM,2025-02-28,0.050177,0.088037,Basic Materials,sparse_qp
URI,2025-02-28,0.050177,0.097326,Industrials,sparse_qp
OXY,2025-02-28,0.050177,0.079347,Energy,sparse_qp
SSL,2025-02-28,0.050177,0.091209,Basic Materials,sparse_qp
ALC,2025-02-28,0.050177,0.071807,Healthcare,sparse_qp
PH,2025-02-28,0.050177,0.085278,Industrials,sparse_qp
COP,2025-02-28,0.050177,0.073545,Energy,sparse_qp
OTIS,2025-02-28,0.050177,0.072891,Industrials,sparse_qp
RTX,2025-02-28,0.050177,0.067283,Industrials,sparse_qp
IBM,2025-02-28,0.050177,0.070501,Technology,sparse_qp
WF,2025-02-28,0.032578,0.073345,Financial Services,sparse_qp
A,2025-02-28,0.032045,0.070771,Healthcare,sparse_qp
SONY,2025-02-28,0.030759,0.069864,Technology,sparse_qp
PSNY,2025-02-28,0.021255,0.095513,Consumer Cyclical,sparse_qp
LMT,2025-02-28,0.020741,0.059218,Industrials,sparse_qp
TEAM,2025-02-28,0.019584,0.077724,Technology,sparse_qp
VST,2025-02-28,0.015928,0.096003,Utilities,sparse_qp
AMX,2025-02-28,0.012833,0.068081,Communication Services,sparse_qp
FCNCA,2025-02-28,0.011454,0.074482,Financial Services,sparse_qp
BAK,2025-03-31,0.050159,0.105774,Basic Materials,sparse_qp
KEP,2025-03-31,0.050159,0.074491,Utilities,sparse_qp
KT,2025-03-31,0.050159,0.055987,Communication Services,sparse_qp
IX,2025-03-31,0.050159,0.053049,Financial Services,sparse_qp
KB,2025-03-31,0.050159,0.062540,Financial Services,sparse_qp
LPL,2025-03-31,0.050159,0.059391,Technology,sparse_qp
BCH,2025-03-31,0.050159,0.045101,Financial Services,sparse_qp
BSAC,2025-03-31,0.050159,0.050000,Financial Services,sparse_qp
SHG,2025-03-31,0.050159,0.056142,Financial Services,sparse_qp
PKX,2025-03-31,0.050159,0.055839,Basic Materials,sparse_qp
PHI,2025-03-31,0.050159,0.038635,Communication Services,sparse_qp
SSL,2025-03-31,0.050159,0.049859,Basic Materials,sparse_qp
TEO,2025-03-31,0.050159,0.061178,Communication Services,sparse_qp
CIB,2025-03-31,0.050159,0.037349,Financial Services,sparse_qp
CRESY,2025-03-31,0.050159,0.046484,Industrials,sparse_qp
TLK,2025-03-31,0.050159,0.031084,Communication Services,sparse_qp
SUZ,2025-03-31,0.043081,0.027173,Basic Materials,sparse_qp
CEG,2025-03-31,0.036170,0.049233,Utilities,sparse_qp
SKM,2025-03-31,0.029418,0.027008,Communication Services,sparse_qp
TAK,2025-03-31,0.021410,0.021177,Healthcare,sparse_qp
BHP,2025-03-31,0.021021,0.034382,Basic Materials,sparse_qp
NVDA,2025-03-31,0.019949,0.049355,Technology,sparse_qp
PDD,2025-03-31,0.017491,0.042886,Consumer Cyclical,sparse_qp
YPF,2025-03-31,0.008918,0.050459,Energy,sparse_qp
BAK,2025-04-30,0.050069,0.135823,Basic Materials,sparse_qp
LPL,2025-04-30,0.050069,0.099666,Technology,sparse_qp
SUZ,2025-04-30,0.050069,0.071308,Basic Materials,sparse_qp
KEP,2025-04-30,0.050069,0.071878,Utilities,sparse_qp
TV,2025-04-30,0.050069,0.083776,Communication Services,sparse_qp
BCH,2025-04-30,0.050069,0.061857,Financial Services,sparse_qp
CRESY,2025-04-30,0.050069,0.073244,Industrials,sparse_qp
SSL,2025-04-30,0.050069,0.078171,Basic Materials,sparse_qp
SKM,2025-04-30,0.050069,0.046382,Communication Services,sparse_qp
HMC,2025-04-30,0.050069,0.060618,Consumer Cyclical,sparse_qp
KT,2025-04-30,0.050069,0.047651,Communication Services,sparse_qp
SONY,2025-04-30,0.050069,0.053607,Technology,sparse_qp
KB,2025-04-30,0.050069,0.056115,Financial Services,sparse_qp
AKO-A,2025-04-30,0.050069,0.044821,Consumer Defensive,sparse_qp
IX,2025-04-30,0.050069,0.051927,Financial Services,sparse_qp
CCZ,2025-04-30,0.050069,0.028211,Communication Services,sparse_qp
CSAN,2025-04-30,0.050069,0.065378,Energy,sparse_qp
MS-PE,2025-04-30,0.050069,0.022663,Financial Services,sparse_qp
AMX,2025-04-30,0.050069,0.041602,Communication Services,sparse_qp
SCCO,2025-04-30,0.031631,0.063069,Basic Materials,sparse_qp
CBIO,2025-04-30,0.010431,0.105946,Healthcare,sparse_qp
MS-PI,2025-04-30,0.006629,0.021664,Financial Services,sparse_qp
BAK,2025-05-31,0.050207,0.188082,Basic Materials,sparse_qp
CBIO,2025-05-31,0.050207,0.332118,Healthcare,sparse_qp
SUZ,2025-05-31,0.050207,0.082514,Basic Materials,sparse_qp
TV,2025-05-31,0.050207,0.109598,Communication Services,sparse_qp
SONY,2025-05-31,0.050207,0.085812,Technology,sparse_qp
IX,2025-05-31,0.050207,0.086817,Financial Services,sparse_qp
CRESY,2025-05-31,0.050207,0.088034,Industrials,sparse_qp
CSAN,2025-05-31,0.050207,0.088751,Energy,sparse_qp
ADBE,2025-05-31,0.050207,0.070435,Technology,sparse_qp
SSL,2025-05-31,0.050207,0.091700,Basic Materials,sparse_qp
KEP,2025-05-31,0.050207,0.062191,Utilities,sparse_qp
JD,2025-05-31,0.050207,0.080080,Consumer Cyclical,sparse_qp
SKM,2025-05-31,0.050207,0.049676,Communication Services,sparse_qp
AKO-A,2025-05-31,0.050207,0.051214,Consumer Defensive,sparse_qp
GOOGL,2025-05-31,0.050207,0.067410,Communication Services,sparse_qp
LMT,2025-05-31,0.050207,0.039835,Industrials,sparse_qp
GOOG,2025-05-31,0.050207,0.066918,Communication Services,sparse_qp
FCX,2025-05-31,0.037968,0.086916,Basic Materials,sparse_qp
CCZ,2025-05-31,0.034887,0.035634,Communication Services,sparse_qp
LHX,2025-05-31,0.018859,0.043422,Industrials,sparse_qp
HWM,2025-05-31,0.016747,0.062076,Industrials,sparse_qp
OTIS,2025-05-31,0.016256,0.049910,Industrials,sparse_qp
LPL,2025-05-31,0.015234,0.063205,Technology,sparse_qp
BHP,2025-05-31,0.006531,0.066118,Basic Materials,sparse_qp
CBIO,2025-06-30,0.050000,0.399749,Healthcare,sparse_qp
BAK,2025-06-30,0.050000,0.188197,Basic Materials,sparse_qp
SONY,2025-06-30,0.050000,0.086211,Technology,sparse_qp
ALNY,2025-06-30,0.050000,0.088233,Healthcare,sparse_qp
TV,2025-06-30,0.050000,0.099153,Communication Services,sparse_qp
LMT,2025-06-30,0.050000,0.064020,Industrials,sparse_qp
REGN,2025-06-30,0.050000,0.080008,Healthcare,sparse_qp
SSL,2025-06-30,0.050000,0.096105,Basic Materials,sparse_qp
IX,2025-06-30,0.050000,0.077185,Financial Services,sparse_qp
SUZ,2025-06-30,0.050000,0.067353,Basic Materials,sparse_qp
NEM,2025-06-30,0.050000,0.075840,Basic Materials,sparse_qp
LHX,2025-06-30,0.050000,0.061417,Industrials,sparse_qp
JNJ,2025-06-30,0.050000,0.052565,Healthcare,sparse_qp
ABBV,2025-06-30,0.050000,0.062884,Healthcare,sparse_qp
GD,2025-06-30,0.050000,0.061253,Industrials,sparse_qp
CSAN,2025-06-30,0.050000,0.082312,Energy,sparse_qp
CRESY,2025-06-30,0.044259,0.075002,Industrials,sparse_qp
TLK,2025-06-30,0.042236,0.066946,Communication Services,sparse_qp
ROP,2025-06-30,0.038842,0.062683,Industrials,sparse_qp
BHP,2025-06-30,0.030281,0.072271,Basic Materials,sparse_qp
KEP,2025-06-30,0.017153,0.062541,Utilities,sparse_qp
LLY,2025-06-30,0.013807,0.069093,Healthcare,sparse_qp
AKO-A,2025-06-30,0.013421,0.048988,Consumer Defensive,sparse_qp
CBIO,2025-07-31,0.050000,0.315685,Healthcare,sparse_qp
BAK,2025-07-31,0.050000,0.113419,Basic Materials,sparse_qp
TV,2025-07-31,0.050000,0.102292,Communication Services,sparse_qp
NOC,2025-07-31,0.050000,0.058062,Industrials,sparse_qp
GD,2025-07-31,0.050000,0.061882,Industrials,sparse_qp
CME,2025-07-31,0.050000,0.047366,Financial Services,sparse_qp
IX,2025-07-31,0.050000,0.066854,Financial Services,sparse_qp
LHX,2025-07-31,0.050000,0.053739,Industrials,sparse_qp
SONY,2025-07-31,0.050000,0.062027,Technology,sparse_qp
HSBC,2025-07-31,0.050000,0.061008,Financial Services,sparse_qp
CRESY,2025-07-31,0.050000,0.066813,Industrials,sparse_qp
TRP,2025-07-31,0.050000,0.048393,Energy,sparse_qp
ABBV,2025-07-31,0.050000,0.051469,Healthcare,sparse_qp
TKC,2025-07-31,0.050000,0.049643,Communication Services,sparse_qp
BHP,2025-07-31,0.044339,0.061723,Basic Materials,sparse_qp
LMT,2025-07-31,0.041379,0.044349,Industrials,sparse_qp
AKO-A,2025-07-31,0.037484,0.045957,Consumer Defensive,sparse_qp
KEP,2025-07-31,0.030548,0.056886,Utilities,sparse_qp
NEM,2025-07-31,0.027941,0.057017,Basic Materials,sparse_qp
ELV,2025-07-31,0.025682,0.045713,Healthcare,sparse_qp
TLK,2025-07-31,0.024275,0.056557,Communication Services,sparse_qp
INFY,2025-07-31,0.023012,0.049773,Technology,sparse_qp
BRLS,2025-07-31,0.016492,0.056188,Consumer Defensive,sparse_qp
CSAN,2025-07-31,0.016354,0.063354,Energy,sparse_qp
TDG,2025-07-31,0.012494,0.051409,Industrials,sparse_qp
CBIO,2025-08-31,0.050185,0.319805,Healthcare,sparse_qp
BAK,2025-08-31,0.050185,0.111360,Basic Materials,sparse_qp
ALNY,2025-08-31,0.050185,0.093147,Healthcare,sparse_qp
PHI,2025-08-31,0.050185,0.082795,Communication Services,sparse_qp
SONY,2025-08-31,0.050185,0.083287,Technology,sparse_qp
SUZ,2025-08-31,0.050185,0.070380,Basic Materials,sparse_qp
LPL,2025-08-31,0.050185,0.081052,Technology,sparse_qp
TV,2025-08-31,0.050185,0.090342,Communication Services,sparse_qp
GD,2025-08-31,0.050185,0.059917,Industrials,sparse_qp
NOC,2025-08-31,0.050185,0.049396,Industrials,sparse_qp
LHX,2025-08-31,0.050185,0.051371,Industrials,sparse_qp
CALC,2025-08-31,0.050185,0.072577,Healthcare,sparse_qp
TLK,2025-08-31,0.050185,0.057658,Communication Services,sparse_qp
TRP,2025-08-31,0.050185,0.048056,Energy,sparse_qp
LMT,2025-08-31,0.050185,0.045009,Industrials,sparse_qp
AMX,2025-08-31,0.050185,0.048876,Communication Services,sparse_qp
BMO,2025-08-31,0.043475,0.048126,Financial Services,sparse_qp
CME,2025-08-31,0.035852,0.038611,Financial Services,sparse_qp
TDG,2025-08-31,0.032394,0.050791,Industrials,sparse_qp
BRLS,2025-08-31,0.030242,0.067721,Consumer Defensive,sparse_qp
TEO,2025-08-31,0.024421,0.058639,Communication Services,sparse_qp
EOG,2025-08-31,0.017154,0.051281,Energy,sparse_qp
CAH,2025-08-31,0.013503,0.043063,Healthcare,sparse_qp
CBIO,2025-09-30,0.050028,0.352197,Healthcare,sparse_qp
LPL,2025-09-30,0.050028,0.141436,Technology,sparse_qp
BAK,2025-09-30,0.050028,0.125511,Basic Materials,sparse_qp
PHI,2025-09-30,0.050028,0.087917,Communication Services,sparse_qp
TV,2025-09-30,0.050028,0.104103,Communication Services,sparse_qp
ALNY,2025-09-30,0.050028,0.084128,Healthcare,sparse_qp
SONY,2025-09-30,0.050028,0.079388,Technology,sparse_qp
GS-PA,2025-09-30,0.050028,0.057217,Financial Services,sparse_qp
CALC,2025-09-30,0.050028,0.084812,Healthcare,sparse_qp
YPF,2025-09-30,0.050028,0.089062,Energy,sparse_qp
NOC,2025-09-30,0.050028,0.054153,Industrials,sparse_qp
EOG,2025-09-30,0.050028,0.065279,Energy,sparse_qp
GD,2025-09-30,0.050028,0.058866,Industrials,sparse_qp
IX,2025-09-30,0.050028,0.064775,Financial Services,sparse_qp
LHX,2025-09-30,0.050028,0.051985,Industrials,sparse_qp
BMO,2025-09-30,0.050028,0.053411,Financial Services,sparse_qp
PKX,2025-09-30,0.050028,0.065115,Basic Materials,sparse_qp
HUM,2025-09-30,0.048373,0.054075,Healthcare,sparse_qp
TGS,2025-09-30,0.037248,0.080293,Energy,sparse_qp
PAYX,2025-09-30,0.030491,0.054511,Industrials,sparse_qp
DB,2025-09-30,0.016199,0.061136,Financial Services,sparse_qp
LMT,2025-09-30,0.009321,0.043034,Industrials,sparse_qp
MPLX,2025-09-30,0.007896,0.053343,Energy,sparse_qp
LPL,2025-10-31,0.050477,0.129265,Technology,sparse_qp
PHI,2025-10-31,0.050477,0.089726,Communication Services,sparse_qp
BAK,2025-10-31,0.050477,0.115919,Basic Materials,sparse_qp
TV,2025-10-31,0.050477,0.083733,Communication Services,sparse_qp
REGN,2025-10-31,0.050477,0.080116,Healthcare,sparse_qp
NOC,2025-10-31,0.050477,0.060618,Industrials,sparse_qp
ALNY,2025-10-31,0.050477,0.076822,Healthcare,sparse_qp
ABT,2025-10-31,0.050477,0.055351,Healthcare,sparse_qp
HMC,2025-10-31,0.050477,0.069456,Consumer Cyclical,sparse_qp
SONY,2025-10-31,0.050477,0.065175,Technology,sparse_qp
CRESY,2025-10-31,0.050477,0.075930,Industrials,sparse_qp
IX,2025-10-31,0.050477,0.061721,Financial Services,sparse_qp
GD,2025-10-31,0.050477,0.056413,Industrials,sparse_qp
BMO,2025-10-31,0.050477,0.053059,Financial Services,sparse_qp
LHX,2025-10-31,0.050477,0.050039,Industrials,sparse_qp
EOG,2025-10-31,0.046085,0.058588,Energy,sparse_qp
CALC,2025-10-31,0.038875,0.071753,Healthcare,sparse_qp
TWNP,2025-10-31,0.037478,0.073103,Consumer Cyclical,sparse_qp
RTX,2025-10-31,0.035554,0.054010,Industrials,sparse_qp
ELV,2025-10-31,0.032087,0.051492,Healthcare,sparse_qp
TKC,2025-10-31,0.027597,0.052005,Communication Services,sparse_qp
TGS,2025-10-31,0.010080,0.076836,Energy,sparse_qp
FISV,2025-10-31,0.009877,0.055950,Technology,sparse_qp
FCX,2025-10-31,0.005217,0.070672,Basic Materials,sparse_qp
BAK,2025-11-30,0.050255,0.133278,Basic Materials,sparse_qp
SONY,2025-11-30,0.050255,0.103527,Technology,sparse_qp
PHI,2025-11-30,0.050255,0.087699,Communication Services,sparse_qp
LPL,2025-11-30,0.050255,0.091182,Technology,sparse_qp
TV,2025-11-30,0.050255,0.093745,Communication Services,sparse_qp
GS-PD,2025-11-30,0.050255,0.059890,Financial Services,sparse_qp
REGN,2025-11-30,0.050255,0.077835,Healthcare,sparse_qp
NOC,2025-11-30,0.050255,0.053405,Industrials,sparse_qp
ALNY,2025-11-30,0.050255,0.069624,Healthcare,sparse_qp
HMC,2025-11-30,0.050255,0.066604,Consumer Cyclical,sparse_qp
OXY,2025-11-30,0.050255,0.065908,Energy,sparse_qp
NFLX,2025-11-30,0.050255,0.102705,Communication Services,sparse_qp
RTX,2025-11-30,0.050255,0.053228,Industrials,sparse_qp
EOG,2025-11-30,0.050255,0.059655,Energy,sparse_qp
DB,2025-11-30,0.050255,0.066700,Financial Services,sparse_qp
KHC,2025-11-30,0.050255,0.052639,Consumer Defensive,sparse_qp
CBIO,2025-11-30,0.047169,0.089387,Healthcare,sparse_qp
LHX,2025-11-30,0.030357,0.044948,Industrials,sparse_qp
IX,2025-11-30,0.025365,0.055857,Financial Services,sparse_qp
SATS,2025-11-30,0.023115,0.080200,Technology,sparse_qp
ELV,2025-11-30,0.021131,0.044519,Healthcare,sparse_qp
CRESY,2025-11-30,0.018624,0.064303,Industrials,sparse_qp
CAH,2025-11-30,0.011862,0.041127,Healthcare,sparse_qp
IQV,2025-11-30,0.006580,0.065587,Healthcare,sparse_qp
TWNP,2025-11-30,0.006447,0.040873,Consumer Cyclical,sparse_qp
PAYX,2025-11-30,0.005271,0.050669,Industrials,sparse_qp
OTLK,2025-12-31,0.050000,0.181343,Healthcare,sparse_qp
TEO,2025-12-31,0.050000,0.093531,Communication Services,sparse_qp
TV,2025-12-31,0.050000,0.066001,Communication Services,sparse_qp
BPYPP,2025-12-31,0.050000,0.046142,Real Estate,sparse_qp
BPYPO,2025-12-31,0.050000,0.040863,Real Estate,sparse_qp
SSL,2025-12-31,0.050000,0.066108,Basic Materials,sparse_qp
SUZ,2025-12-31,0.050000,0.042147,Basic Materials,sparse_qp
AMX,2025-12-31,0.050000,0.040678,Communication Services,sparse_qp
LPL,2025-12-31,0.050000,0.051981,Technology,sparse_qp
CCZ,2025-12-31,0.050000,0.026635,Communication Services,sparse_qp
KEP,2025-12-31,0.050000,0.041158,Utilities,sparse_qp
SONY,2025-12-31,0.050000,0.041488,Technology,sparse_qp
BPYPN,2025-12-31,0.050000,0.025686,Real Estate,sparse_qp
SKM,2025-12-31,0.050000,0.026406,Communication Services,sparse_qp
EQT,2025-12-31,0.050000,0.028934,Energy,sparse_qp
YPF,2025-12-31,0.046918,0.065589,Energy,sparse_qp
PHI,2025-12-31,0.044532,0.022568,Communication Services,sparse_qp
PCG-PB,2025-12-31,0.037756,0.012991,Utilities,sparse_qp
HWM-P,2025-12-31,0.035881,0.024052,Industrials,sparse_qp
CALC,2025-12-31,0.033911,0.036601,Healthcare,sparse_qp
BAK,2025-12-31,0.028526,0.050693,Basic Materials,sparse_qp
LOMA,2025-12-31,0.014449,0.064179,Basic Materials,sparse_qp
ALNY,2025-12-31,0.008027,0.028899,Healthcare,sparse_qp
SKM,2026-01-31,0.050000,0.204035,Communication Services,sparse_qp
OTLK,2026-01-31,0.050000,0.173366,Healthcare,sparse_qp
PKX,2026-01-31,0.050000,0.133848,Basic Materials,sparse_qp
PHI,2026-01-31,0.050000,0.096305,Communication Services,sparse_qp
KEP,2026-01-31,0.050000,0.079079,Utilities,sparse_qp
HMC,2026-01-31,0.050000,0.074649,Consumer Cyclical,sparse_qp
KT,2026-01-31,0.050000,0.062106,Communication Services,sparse_qp
LPL,2026-01-31,0.050000,0.075162,Technology,sparse_qp
CALC,2026-01-31,0.050000,0.086680,Healthcare,sparse_qp
TEO,2026-01-31,0.050000,0.085912,Communication Services,sparse_qp
CCZ,2026-01-31,0.050000,0.026820,Communication Services,sparse_qp
SSL,2026-01-31,0.050000,0.052650,Basic Materials,sparse_qp
TV,2026-01-31,0.050000,0.046980,Communication Services,sparse_qp
SUZ,2026-01-31,0.050000,0.034341,Basic Materials,sparse_qp
BPYPO,2026-01-31,0.050000,0.021848,Real Estate,sparse_qp
HWM-P,2026-01-31,0.050000,0.031497,Industrials,sparse_qp
TRP,2026-01-31,0.050000,0.017687,Energy,sparse_qp
KB,2026-01-31,0.050000,0.033265,Financial Services,sparse_qp
LOCL,2026-01-31,0.043336,0.046435,Consumer Defensive,sparse_qp
MRVL,2026-01-31,0.031844,0.055500,Technology,sparse_qp
RIO,2026-01-31,0.019411,0.025521,Basic Materials,sparse_qp
TAK,2026-01-31,0.005410,0.016426,Healthcare,sparse_qp
